fileSize,single,buffer1k,buffer8k,buffer32k
4096,14489,62,36,33
8192,28888,103,68,64
16384,57973,211,137,124
32768,116558,405,263,246
64,229,4,4,4
128,451,5,4,5
256,895,6,5,6
512,1790,10,7,7
1024,3578,16,11,11
2048,7127,28,20,19
4096,14429,53,36,34
8192,28971,104,69,64
16384,57882,203,134,124
32768,116450,432,265,258
